blancura;brillo;opacidad;traccion;rasgado;doblado;bea;absorcion;permeabilidad;rugosidad;ceniza;abrasion
0,909;0,909;0,792;3,05;5,01;59,7;1030;0,97;20,3;2,97;0,0028;0,0014
0,934;0,944;0,844;3,39;5,34;67,9;1051;1,04;20,8;3,12;0,0038;0,0008
0,887;0,83;0,941;2,59;4,76;64,7;912;1,3;25,2;3,51;0,0033;0,0004
0,878;0,828;0,829;3,39;5,29;65,2;1045;1,04;21,1;3,11;0,0034;0,0009
0,931;0,892;0,796;3,24;5,5;59,2;1041;1,02;21,5;3;0,0034;0,0011
0,909;0,854;0,787;2,1;3,82;55,7;798;1,06;19,7;3,22;0,0033;0,0009
0,864;0,816;0,823;3,3;5,27;62,8;1103;0,95;20,2;3,02;0,0024;0,001
0,938;0,92;0,78;3,22;5,55;65,2;1126;0,87;17,9;2,78;0,0033;0,0012
0,88;0,82;0,849;3,78;5,78;70,1;1097;0,98;20,9;3,12;0,003;0,0008
0,923;0,877;0,782;2,46;4,12;55,8;906;0,97;19,5;3,06;0,0033;0,001
0,978;0,963;0,785;3,13;5,02;47,3;1057;1,01;17,9;2,84;0,0025;0,001
0,911;0,915;0,836;3,41;5,07;56,2;1109;1,03;21,6;3,04;0,004;0,0013
0,916;0,811;0,881;2,78;4,54;65;856;1,14;22,5;3,31;0,0032;0,0008
0,956;0,919;0,812;2,76;4,73;73,1;1065;0,96;18,1;2,84;0,003;0,0011
0,925;0,869;0,858;2,79;4,65;54,9;924;1,14;22,3;3,23;0,0033;0,0007
0,869;0,808;0,914;3,72;5,68;79,3;1072;1,1;23,4;3,27;0,0032;0,0007
0,864;0,847;0,828;2,63;4,88;54,2;898;1,08;22;3,14;0,0035;0,0011
0,909;0,901;0,821;4,06;5,54;78,2;1147;1,01;19,6;3,01;0,0031;0,0012
0,889;0,83;0,766;3,49;5,63;69,7;1090;0,93;18,2;2,84;0,0028;0,0011
0,901;0,893;0,754;3,03;5,19;80,7;1012;0,87;17,3;2,77;0,003;0,0017
0,92;0,871;0,777;2,81;5,08;56,4;982;0,91;18,4;2,96;0,0031;0,0013
0,908;0,845;0,84;3,2;4,82;56,1;1054;1;20,7;3,09;0,0022;0,0008
0,956;0,936;0,743;2,46;4,41;57,2;958;0,94;18;2,7;0,0036;0,0008
0,897;0,837;0,782;2,49;4,71;55,9;896;0,94;20,1;3,13;0,0031;0,0011
0,919;0,918;0,769;3,39;5,14;67,8;1091;0,86;17,6;2,73;0,0037;0,0011
0,905;0,825;0,858;3,72;5,9;75,1;1107;1,01;20,1;3,01;0,0024;0,0008
0,94;0,911;0,785;2,81;4,7;54,9;953;0,98;18,8;2,95;0,0041;0,001
0,928;0,923;0,785;3,12;5,58;61,9;1055;0,97;18,5;2,94;0,0032;0,0013
0,925;0,89;0,842;3,24;5,49;73,8;1102;1,06;21,1;3,1;0,0029;0,001
